feature,channel,window_start_ms,window_end_ms,window_label,importance_value,model_name,importance_method
PO8_0_100ms,PO8,0,100,0-100 ms,5807.085620541774,LDA,standardized_coefficient
PO7_0_100ms,PO7,0,100,0-100 ms,17739.974030086327,LDA,standardized_coefficient
PO3_0_100ms,PO3,0,100,0-100 ms,17991.912798474594,LDA,standardized_coefficient
PO4_0_100ms,PO4,0,100,0-100 ms,2977.8454484972144,LDA,standardized_coefficient
P7_0_100ms,P7,0,100,0-100 ms,2613.808561029516,LDA,standardized_coefficient
P8_0_100ms,P8,0,100,0-100 ms,1463.0010211213464,LDA,standardized_coefficient
O1_0_100ms,O1,0,100,0-100 ms,21166.44533418753,LDA,standardized_coefficient
O2_0_100ms,O2,0,100,0-100 ms,22543.66479135329,LDA,standardized_coefficient
PO8_100_200ms,PO8,100,200,100-200 ms,6917.928914100645,LDA,standardized_coefficient
PO7_100_200ms,PO7,100,200,100-200 ms,46241.25014839039,LDA,standardized_coefficient
PO3_100_200ms,PO3,100,200,100-200 ms,51420.312655414265,LDA,standardized_coefficient
PO4_100_200ms,PO4,100,200,100-200 ms,14064.865018460097,LDA,standardized_coefficient
P7_100_200ms,P7,100,200,100-200 ms,2160.7403081460184,LDA,standardized_coefficient
P8_100_200ms,P8,100,200,100-200 ms,17681.405581084036,LDA,standardized_coefficient
O1_100_200ms,O1,100,200,100-200 ms,25152.905833877187,LDA,standardized_coefficient
O2_100_200ms,O2,100,200,100-200 ms,47770.55940199052,LDA,standardized_coefficient
PO8_200_300ms,PO8,200,300,200-300 ms,20180.641928897847,LDA,standardized_coefficient
PO7_200_300ms,PO7,200,300,200-300 ms,5648.111111574874,LDA,standardized_coefficient
PO3_200_300ms,PO3,200,300,200-300 ms,24386.286948426576,LDA,standardized_coefficient
PO4_200_300ms,PO4,200,300,200-300 ms,31827.719409407768,LDA,standardized_coefficient
P7_200_300ms,P7,200,300,200-300 ms,1552.5828656154006,LDA,standardized_coefficient
P8_200_300ms,P8,200,300,200-300 ms,42928.14576419385,LDA,standardized_coefficient
O1_200_300ms,O1,200,300,200-300 ms,23723.651420275168,LDA,standardized_coefficient
O2_200_300ms,O2,200,300,200-300 ms,44373.04891142684,LDA,standardized_coefficient
PO8_300_400ms,PO8,300,400,300-400 ms,20091.933764394125,LDA,standardized_coefficient
PO7_300_400ms,PO7,300,400,300-400 ms,59656.295705234166,LDA,standardized_coefficient
PO3_300_400ms,PO3,300,400,300-400 ms,27521.791957712947,LDA,standardized_coefficient
PO4_300_400ms,PO4,300,400,300-400 ms,88964.62216955384,LDA,standardized_coefficient
P7_300_400ms,P7,300,400,300-400 ms,2564.666481940291,LDA,standardized_coefficient
P8_300_400ms,P8,300,400,300-400 ms,15147.40313363065,LDA,standardized_coefficient
O1_300_400ms,O1,300,400,300-400 ms,12908.317481737206,LDA,standardized_coefficient
O2_300_400ms,O2,300,400,300-400 ms,80703.00521561182,LDA,standardized_coefficient
PO8_400_500ms,PO8,400,500,400-500 ms,44213.64458650274,LDA,standardized_coefficient
PO7_400_500ms,PO7,400,500,400-500 ms,39958.010197763324,LDA,standardized_coefficient
PO3_400_500ms,PO3,400,500,400-500 ms,100659.38920716863,LDA,standardized_coefficient
PO4_400_500ms,PO4,400,500,400-500 ms,4696.103215512844,LDA,standardized_coefficient
P7_400_500ms,P7,400,500,400-500 ms,911.4465048987558,LDA,standardized_coefficient
P8_400_500ms,P8,400,500,400-500 ms,48458.537117332235,LDA,standardized_coefficient
O1_400_500ms,O1,400,500,400-500 ms,102296.33494747173,LDA,standardized_coefficient
O2_400_500ms,O2,400,500,400-500 ms,53690.73878169234,LDA,standardized_coefficient
PO8_500_600ms,PO8,500,600,500-600 ms,13367.881887654337,LDA,standardized_coefficient
PO7_500_600ms,PO7,500,600,500-600 ms,14015.033867838816,LDA,standardized_coefficient
PO3_500_600ms,PO3,500,600,500-600 ms,5740.755519556195,LDA,standardized_coefficient
PO4_500_600ms,PO4,500,600,500-600 ms,42163.62498043839,LDA,standardized_coefficient
P7_500_600ms,P7,500,600,500-600 ms,1511.2996464799492,LDA,standardized_coefficient
P8_500_600ms,P8,500,600,500-600 ms,29109.823488809958,LDA,standardized_coefficient
O1_500_600ms,O1,500,600,500-600 ms,5939.737691084886,LDA,standardized_coefficient
O2_500_600ms,O2,500,600,500-600 ms,3454.5809149626953,LDA,standardized_coefficient
PO8_0_100ms,PO8,0,100,0-100 ms,0.0,SVM,permutation_average_precision
PO7_0_100ms,PO7,0,100,0-100 ms,0.03442033866915806,SVM,permutation_average_precision
PO3_0_100ms,PO3,0,100,0-100 ms,0.023230557433655097,SVM,permutation_average_precision
PO4_0_100ms,PO4,0,100,0-100 ms,0.044824449045933634,SVM,permutation_average_precision
P7_0_100ms,P7,0,100,0-100 ms,0.0,SVM,permutation_average_precision
P8_0_100ms,P8,0,100,0-100 ms,0.007149823576507841,SVM,permutation_average_precision
O1_0_100ms,O1,0,100,0-100 ms,0.01732714381917333,SVM,permutation_average_precision
O2_0_100ms,O2,0,100,0-100 ms,0.028128483835005547,SVM,permutation_average_precision
